source_category,source_ext,source_name,target_category,target_ext,target_name,engine,is_common,cross_category,url_slug
Documents,pdf,PDF,Images,jpeg,JPEG,libreoffice,False,True,pdf-to-jpeg
Documents,pdf,PDF,Images,png,PNG,libreoffice,False,True,pdf-to-png
Documents,pdf,PDF,Images,gif,GIF,libreoffice,False,True,pdf-to-gif
Documents,pdf,PDF,Images,bmp,BMP,libreoffice,False,True,pdf-to-bmp
Documents,pdf,PDF,Images,tiff,TIFF,libreoffice,False,True,pdf-to-tiff
Documents,pdf,PDF,Images,tif,TIF,libreoffice,False,True,pdf-to-tif
Documents,pdf,PDF,Images,webp,WEBP,libreoffice,False,True,pdf-to-webp
Documents,pdf,PDF,Images,svg,SVG,libreoffice,False,True,pdf-to-svg
Documents,pdf,PDF,Images,ico,ICO,libreoffice,False,True,pdf-to-ico
Documents,pdf,PDF,Images,heic,HEIC,libreoffice,False,True,pdf-to-heic
Documents,pdf,PDF,Images,heif,HEIF,libreoffice,False,True,pdf-to-heif
Documents,pdf,PDF,Images,dng,DNG,libreoffice,False,True,pdf-to-dng
Documents,pdf,PDF,Images,ppm,PPM,libreoffice,False,True,pdf-to-ppm
Documents,pdf,PDF,Images,pgm,PGM,libreoffice,False,True,pdf-to-pgm
Documents,pdf,PDF,Images,pbm,PBM,libreoffice,False,True,pdf-to-pbm
Documents,pdf,PDF,Images,xpm,XPM,libreoffice,False,True,pdf-to-xpm
Documents,pdf,PDF,Images,xbm,XBM,libreoffice,False,True,pdf-to-xbm
Documents,pdf,PDF,Images,pcx,PCX,libreoffice,False,True,pdf-to-pcx
Documents,pdf,PDF,Audio,mp3,MP3,universal,False,True,pdf-to-mp3
Documents,pdf,PDF,Audio,wav,WAV,universal,False,True,pdf-to-wav
Documents,pdf,PDF,Audio,aac,AAC,universal,False,True,pdf-to-aac
Documents,pdf,PDF,Audio,flac,FLAC,universal,False,True,pdf-to-flac
Documents,pdf,PDF,Audio,ogg,OGG,universal,False,True,pdf-to-ogg
Documents,pdf,PDF,Audio,m4a,M4A,universal,False,True,pdf-to-m4a
Documents,pdf,PDF,Audio,wma,WMA,universal,False,True,pdf-to-wma
Documents,pdf,PDF,Audio,aiff,AIFF,universal,False,True,pdf-to-aiff
Documents,pdf,PDF,Audio,au,AU,universal,False,True,pdf-to-au
Documents,pdf,PDF,Audio,amr,AMR,universal,False,True,pdf-to-amr
Documents,pdf,PDF,Audio,ac3,AC3,universal,False,True,pdf-to-ac3
Documents,pdf,PDF,Audio,opus,OPUS,universal,False,True,pdf-to-opus
Documents,pdf,PDF,Audio,mka,MKA,universal,False,True,pdf-to-mka
Documents,pdf,PDF,Audio,voc,VOC,universal,False,True,pdf-to-voc
Documents,pdf,PDF,Audio,spx,SPX,universal,False,True,pdf-to-spx
Documents,pdf,PDF,Audio,tta,TTA,universal,False,True,pdf-to-tta
Documents,pdf,PDF,Audio,wv,WV,universal,False,True,pdf-to-wv
Documents,pdf,PDF,Audio,dts,DTS,universal,False,True,pdf-to-dts
Documents,pdf,PDF,Audio,eac3,EAC3,universal,False,True,pdf-to-eac3
Documents,pdf,PDF,Video,mp4,MP4,universal,False,True,pdf-to-mp4
Documents,pdf,PDF,Video,avi,AVI,universal,False,True,pdf-to-avi
Documents,pdf,PDF,Video,mov,MOV,universal,False,True,pdf-to-mov
Documents,pdf,PDF,Video,wmv,WMV,universal,False,True,pdf-to-wmv
Documents,pdf,PDF,Video,mkv,MKV,universal,False,True,pdf-to-mkv
Documents,pdf,PDF,Video,flv,FLV,universal,False,True,pdf-to-flv
Documents,pdf,PDF,Video,webm,WEBM,universal,False,True,pdf-to-webm
Documents,pdf,PDF,Video,m4v,M4V,universal,False,True,pdf-to-m4v
Documents,pdf,PDF,Video,3gp,3GP,universal,False,True,pdf-to-3gp
Documents,pdf,PDF,Video,ogv,OGV,universal,False,True,pdf-to-ogv
Documents,pdf,PDF,Video,mpeg,MPEG,universal,False,True,pdf-to-mpeg
Documents,pdf,PDF,Video,mpg,MPG,universal,False,True,pdf-to-mpg
Documents,pdf,PDF,Video,m2v,M2V,universal,False,True,pdf-to-m2v
Documents,pdf,PDF,Video,mts,MTS,universal,False,True,pdf-to-mts
Documents,pdf,PDF,Video,ts,TS,universal,False,True,pdf-to-ts
Documents,pdf,PDF,Video,vob,VOB,universal,False,True,pdf-to-vob
Documents,pdf,PDF,Video,dv,DV,universal,False,True,pdf-to-dv
Documents,pdf,PDF,Video,mxf,MXF,universal,False,True,pdf-to-mxf
Documents,pdf,PDF,Video,f4v,F4V,universal,False,True,pdf-to-f4v
Documents,pdf,PDF,Video,swf,SWF,universal,False,True,pdf-to-swf
Documents,pdf,PDF,Video,divx,DIVX,universal,False,True,pdf-to-divx
Documents,pdf,PDF,Video,asf,ASF,universal,False,True,pdf-to-asf
Documents,pdf,PDF,Video,m2ts,M2TS,universal,False,True,pdf-to-m2ts
Documents,pdf,PDF,Archives,zip,ZIP,universal,False,True,pdf-to-zip
Documents,pdf,PDF,Archives,7z,7Z,universal,False,True,pdf-to-7z
Documents,pdf,PDF,Archives,tar,TAR,universal,False,True,pdf-to-tar
Documents,pdf,PDF,Archives,gz,GZ,universal,False,True,pdf-to-gz
Documents,pdf,PDF,Archives,bz2,BZ2,universal,False,True,pdf-to-bz2
Documents,pdf,PDF,Archives,xz,XZ,universal,False,True,pdf-to-xz
Documents,pdf,PDF,Archives,lz,LZ,universal,False,True,pdf-to-lz
Documents,pdf,PDF,Archives,lzma,LZMA,universal,False,True,pdf-to-lzma
Documents,pdf,PDF,Archives,cpio,CPIO,universal,False,True,pdf-to-cpio
Documents,pdf,PDF,CAD,dwg,DWG,universal,False,True,pdf-to-dwg
Documents,pdf,PDF,CAD,dxf,DXF,universal,False,True,pdf-to-dxf
Documents,pdf,PDF,CAD,step,STEP,universal,False,True,pdf-to-step
Documents,pdf,PDF,CAD,stp,STP,universal,False,True,pdf-to-stp
Documents,pdf,PDF,CAD,iges,IGES,universal,False,True,pdf-to-iges
Documents,pdf,PDF,CAD,igs,IGS,universal,False,True,pdf-to-igs
Documents,pdf,PDF,CAD,stl,STL,universal,False,True,pdf-to-stl
Documents,pdf,PDF,CAD,obj,OBJ,universal,False,True,pdf-to-obj
Documents,pdf,PDF,CAD,3ds,3DS,universal,False,True,pdf-to-3ds
Documents,pdf,PDF,CAD,dae,DAE,universal,False,True,pdf-to-dae
Documents,pdf,PDF,CAD,fbx,FBX,universal,False,True,pdf-to-fbx
Documents,pdf,PDF,CAD,ply,PLY,universal,False,True,pdf-to-ply
Documents,pdf,PDF,CAD,ifc,IFC,universal,False,True,pdf-to-ifc
Documents,pdf,PDF,CAD,vsdx,VSDX,universal,False,True,pdf-to-vsdx
Documents,pdf,PDF,CAD,svgz,SVGZ,universal,False,True,pdf-to-svgz
Documents,pdf,PDF,CAD,cgm,CGM,universal,False,True,pdf-to-cgm
Documents,pdf,PDF,eBooks,epub,EPUB,universal,True,True,pdf-to-epub
Documents,pdf,PDF,eBooks,mobi,MOBI,universal,False,True,pdf-to-mobi
Documents,pdf,PDF,eBooks,fb2,FB2,universal,False,True,pdf-to-fb2
Documents,pdf,PDF,Vectors,svg,SVG,universal,False,True,pdf-to-svg
Documents,pdf,PDF,Vectors,eps,EPS,universal,False,True,pdf-to-eps
Documents,pdf,PDF,Vectors,emf,EMF,universal,False,True,pdf-to-emf
Documents,pdf,PDF,Vectors,wmf,WMF,universal,False,True,pdf-to-wmf
Documents,pdf,PDF,Vectors,odg,ODG,universal,False,True,pdf-to-odg
Documents,pdf,PDF,Vectors,cgm,CGM,universal,False,True,pdf-to-cgm
Documents,pdf,PDF,Fonts,ttf,TTF,universal,False,True,pdf-to-ttf
Documents,pdf,PDF,Fonts,otf,OTF,universal,False,True,pdf-to-otf
Documents,pdf,PDF,Fonts,woff,WOFF,universal,False,True,pdf-to-woff
Documents,pdf,PDF,Fonts,woff2,WOFF2,universal,False,True,pdf-to-woff2
Documents,pdf,PDF,Fonts,eot,EOT,universal,False,True,pdf-to-eot
Documents,pdf,PDF,3D Models,stl,STL,universal,False,True,pdf-to-stl
Documents,pdf,PDF,3D Models,obj,OBJ,universal,False,True,pdf-to-obj
Documents,pdf,PDF,3D Models,3ds,3DS,universal,False,True,pdf-to-3ds
Documents,pdf,PDF,3D Models,dae,DAE,universal,False,True,pdf-to-dae
Documents,pdf,PDF,3D Models,fbx,FBX,universal,False,True,pdf-to-fbx
Documents,pdf,PDF,3D Models,ply,PLY,universal,False,True,pdf-to-ply
Documents,pdf,PDF,3D Models,gltf,GLTF,universal,False,True,pdf-to-gltf
Documents,pdf,PDF,3D Models,glb,GLB,universal,False,True,pdf-to-glb
Documents,pdf,PDF,3D Models,x3d,X3D,universal,False,True,pdf-to-x3d
Documents,pdf,PDF,3D Models,wrl,WRL,universal,False,True,pdf-to-wrl
Documents,docx,DOCX,Documents,pdf,PDF,libreoffice,True,False,docx-to-pdf
Documents,docx,DOCX,Documents,doc,DOC,libreoffice,False,False,docx-to-doc
Documents,docx,DOCX,Documents,odt,ODT,libreoffice,False,False,docx-to-odt
Documents,docx,DOCX,Documents,txt,TXT,libreoffice,True,False,docx-to-txt
Documents,docx,DOCX,Documents,rtf,RTF,libreoffice,False,False,docx-to-rtf
Documents,docx,DOCX,Documents,html,HTML,libreoffice,True,False,docx-to-html
Documents,docx,DOCX,Documents,tex,TEX,libreoffice,False,False,docx-to-tex
Documents,docx,DOCX,Documents,epub,EPUB,libreoffice,False,False,docx-to-epub
Documents,docx,DOCX,Documents,mobi,MOBI,libreoffice,False,False,docx-to-mobi
Documents,docx,DOCX,Documents,fb2,FB2,libreoffice,False,False,docx-to-fb2
Documents,docx,DOCX,Documents,md,MD,libreoffice,False,False,docx-to-md
Documents,docx,DOCX,Documents,csv,CSV,libreoffice,False,False,docx-to-csv
Documents,docx,DOCX,Documents,xml,XML,libreoffice,False,False,docx-to-xml
Documents,docx,DOCX,Documents,json,JSON,libreoffice,False,False,docx-to-json
Documents,docx,DOCX,Spreadsheets,xlsx,XLSX,universal,False,True,docx-to-xlsx
Documents,docx,DOCX,Spreadsheets,xls,XLS,universal,False,True,docx-to-xls
Documents,docx,DOCX,Spreadsheets,ods,ODS,universal,False,True,docx-to-ods
Documents,docx,DOCX,Spreadsheets,csv,CSV,universal,False,True,docx-to-csv
Documents,docx,DOCX,Spreadsheets,tsv,TSV,universal,False,True,docx-to-tsv
Documents,docx,DOCX,Spreadsheets,dbf,DBF,universal,False,True,docx-to-dbf
Documents,docx,DOCX,Spreadsheets,fods,FODS,universal,False,True,docx-to-fods
Documents,docx,DOCX,Presentations,pptx,PPTX,universal,False,True,docx-to-pptx
Documents,docx,DOCX,Presentations,ppt,PPT,universal,False,True,docx-to-ppt
Documents,docx,DOCX,Presentations,odp,ODP,universal,False,True,docx-to-odp
Documents,docx,DOCX,Images,jpg,JPG,libreoffice,False,True,docx-to-jpg
Documents,docx,DOCX,Images,jpeg,JPEG,libreoffice,False,True,docx-to-jpeg
Documents,docx,DOCX,Images,png,PNG,libreoffice,False,True,docx-to-png
Documents,docx,DOCX,Images,gif,GIF,libreoffice,False,True,docx-to-gif
Documents,docx,DOCX,Images,bmp,BMP,libreoffice,False,True,docx-to-bmp
Documents,docx,DOCX,Images,tiff,TIFF,libreoffice,False,True,docx-to-tiff
Documents,docx,DOCX,Images,tif,TIF,libreoffice,False,True,docx-to-tif
Documents,docx,DOCX,Images,webp,WEBP,libreoffice,False,True,docx-to-webp
Documents,docx,DOCX,Images,svg,SVG,libreoffice,False,True,docx-to-svg
Documents,docx,DOCX,Images,ico,ICO,libreoffice,False,True,docx-to-ico
Documents,docx,DOCX,Images,heic,HEIC,libreoffice,False,True,docx-to-heic
Documents,docx,DOCX,Images,heif,HEIF,libreoffice,False,True,docx-to-heif
Documents,docx,DOCX,Images,dng,DNG,libreoffice,False,True,docx-to-dng
Documents,docx,DOCX,Images,ppm,PPM,libreoffice,False,True,docx-to-ppm
Documents,docx,DOCX,Images,pgm,PGM,libreoffice,False,True,docx-to-pgm
Documents,docx,DOCX,Images,pbm,PBM,libreoffice,False,True,docx-to-pbm
Documents,docx,DOCX,Images,xpm,XPM,libreoffice,False,True,docx-to-xpm
Documents,docx,DOCX,Images,xbm,XBM,libreoffice,False,True,docx-to-xbm
Documents,docx,DOCX,Images,pcx,PCX,libreoffice,False,True,docx-to-pcx
Documents,docx,DOCX,Audio,mp3,MP3,universal,False,True,docx-to-mp3
Documents,docx,DOCX,Audio,wav,WAV,universal,False,True,docx-to-wav
Documents,docx,DOCX,Audio,aac,AAC,universal,False,True,docx-to-aac
Documents,docx,DOCX,Audio,flac,FLAC,universal,False,True,docx-to-flac
Documents,docx,DOCX,Audio,ogg,OGG,universal,False,True,docx-to-ogg
Documents,docx,DOCX,Audio,m4a,M4A,universal,False,True,docx-to-m4a
Documents,docx,DOCX,Audio,wma,WMA,universal,False,True,docx-to-wma
Documents,docx,DOCX,Audio,aiff,AIFF,universal,False,True,docx-to-aiff
Documents,docx,DOCX,Audio,au,AU,universal,False,True,docx-to-au
Documents,docx,DOCX,Audio,amr,AMR,universal,False,True,docx-to-amr
Documents,docx,DOCX,Audio,ac3,AC3,universal,False,True,docx-to-ac3
Documents,docx,DOCX,Audio,opus,OPUS,universal,False,True,docx-to-opus
Documents,docx,DOCX,Audio,mka,MKA,universal,False,True,docx-to-mka
Documents,docx,DOCX,Audio,voc,VOC,universal,False,True,docx-to-voc
Documents,docx,DOCX,Audio,spx,SPX,universal,False,True,docx-to-spx
Documents,docx,DOCX,Audio,tta,TTA,universal,False,True,docx-to-tta
Documents,docx,DOCX,Audio,wv,WV,universal,False,True,docx-to-wv
Documents,docx,DOCX,Audio,dts,DTS,universal,False,True,docx-to-dts
Documents,docx,DOCX,Audio,eac3,EAC3,universal,False,True,docx-to-eac3
Documents,docx,DOCX,Video,mp4,MP4,universal,False,True,docx-to-mp4
Documents,docx,DOCX,Video,avi,AVI,universal,False,True,docx-to-avi
Documents,docx,DOCX,Video,mov,MOV,universal,False,True,docx-to-mov
Documents,docx,DOCX,Video,wmv,WMV,universal,False,True,docx-to-wmv
Documents,docx,DOCX,Video,mkv,MKV,universal,False,True,docx-to-mkv
Documents,docx,DOCX,Video,flv,FLV,universal,False,True,docx-to-flv
Documents,docx,DOCX,Video,webm,WEBM,universal,False,True,docx-to-webm
Documents,docx,DOCX,Video,m4v,M4V,universal,False,True,docx-to-m4v
Documents,docx,DOCX,Video,3gp,3GP,universal,False,True,docx-to-3gp
Documents,docx,DOCX,Video,ogv,OGV,universal,False,True,docx-to-ogv
Documents,docx,DOCX,Video,mpeg,MPEG,universal,False,True,docx-to-mpeg
Documents,docx,DOCX,Video,mpg,MPG,universal,False,True,docx-to-mpg
Documents,docx,DOCX,Video,m2v,M2V,universal,False,True,docx-to-m2v
Documents,docx,DOCX,Video,mts,MTS,universal,False,True,docx-to-mts
Documents,docx,DOCX,Video,ts,TS,universal,False,True,docx-to-ts
Documents,docx,DOCX,Video,vob,VOB,universal,False,True,docx-to-vob
Documents,docx,DOCX,Video,dv,DV,universal,False,True,docx-to-dv
Documents,docx,DOCX,Video,mxf,MXF,universal,False,True,docx-to-mxf
Documents,docx,DOCX,Video,f4v,F4V,universal,False,True,docx-to-f4v
Documents,docx,DOCX,Video,swf,SWF,universal,False,True,docx-to-swf
Documents,docx,DOCX,Video,divx,DIVX,universal,False,True,docx-to-divx
Documents,docx,DOCX,Video,asf,ASF,universal,False,True,docx-to-asf
Documents,docx,DOCX,Video,m2ts,M2TS,universal,False,True,docx-to-m2ts
Documents,docx,DOCX,Archives,zip,ZIP,universal,False,True,docx-to-zip
Documents,docx,DOCX,Archives,7z,7Z,universal,False,True,docx-to-7z
Documents,docx,DOCX,Archives,tar,TAR,universal,False,True,docx-to-tar
Documents,docx,DOCX,Archives,gz,GZ,universal,False,True,docx-to-gz
Documents,docx,DOCX,Archives,bz2,BZ2,universal,False,True,docx-to-bz2
Documents,docx,DOCX,Archives,xz,XZ,universal,False,True,docx-to-xz
Documents,docx,DOCX,Archives,lz,LZ,universal,False,True,docx-to-lz
Documents,docx,DOCX,Archives,lzma,LZMA,universal,False,True,docx-to-lzma
Documents,docx,DOCX,Archives,cpio,CPIO,universal,False,True,docx-to-cpio
Documents,docx,DOCX,CAD,dwg,DWG,universal,False,True,docx-to-dwg
Documents,docx,DOCX,CAD,dxf,DXF,universal,False,True,docx-to-dxf
Documents,docx,DOCX,CAD,step,STEP,universal,False,True,docx-to-step
Documents,docx,DOCX,CAD,stp,STP,universal,False,True,docx-to-stp
Documents,docx,DOCX,CAD,iges,IGES,universal,False,True,docx-to-iges
Documents,docx,DOCX,CAD,igs,IGS,universal,False,True,docx-to-igs
Documents,docx,DOCX,CAD,stl,STL,universal,False,True,docx-to-stl
Documents,docx,DOCX,CAD,obj,OBJ,universal,False,True,docx-to-obj
Documents,docx,DOCX,CAD,3ds,3DS,universal,False,True,docx-to-3ds
Documents,docx,DOCX,CAD,dae,DAE,universal,False,True,docx-to-dae
Documents,docx,DOCX,CAD,fbx,FBX,universal,False,True,docx-to-fbx
Documents,docx,DOCX,CAD,ply,PLY,universal,False,True,docx-to-ply
Documents,docx,DOCX,CAD,ifc,IFC,universal,False,True,docx-to-ifc
Documents,docx,DOCX,CAD,vsdx,VSDX,universal,False,True,docx-to-vsdx
Documents,docx,DOCX,CAD,svgz,SVGZ,universal,False,True,docx-to-svgz
Documents,docx,DOCX,CAD,cgm,CGM,universal,False,True,docx-to-cgm
Documents,docx,DOCX,eBooks,epub,EPUB,universal,False,True,docx-to-epub
Documents,docx,DOCX,eBooks,mobi,MOBI,universal,False,True,docx-to-mobi
Documents,docx,DOCX,eBooks,fb2,FB2,universal,False,True,docx-to-fb2
Documents,docx,DOCX,Vectors,svg,SVG,universal,False,True,docx-to-svg
Documents,docx,DOCX,Vectors,eps,EPS,universal,False,True,docx-to-eps
Documents,docx,DOCX,Vectors,emf,EMF,universal,False,True,docx-to-emf
Documents,docx,DOCX,Vectors,wmf,WMF,universal,False,True,docx-to-wmf
Documents,docx,DOCX,Vectors,odg,ODG,universal,False,True,docx-to-odg
Documents,docx,DOCX,Vectors,cgm,CGM,universal,False,True,docx-to-cgm
Documents,docx,DOCX,Fonts,ttf,TTF,universal,False,True,docx-to-ttf
Documents,docx,DOCX,Fonts,otf,OTF,universal,False,True,docx-to-otf
Documents,docx,DOCX,Fonts,woff,WOFF,universal,False,True,docx-to-woff
Documents,docx,DOCX,Fonts,woff2,WOFF2,universal,False,True,docx-to-woff2
Documents,docx,DOCX,Fonts,eot,EOT,universal,False,True,docx-to-eot
Documents,docx,DOCX,3D Models,stl,STL,universal,False,True,docx-to-stl
Documents,docx,DOCX,3D Models,obj,OBJ,universal,False,True,docx-to-obj
Documents,docx,DOCX,3D Models,3ds,3DS,universal,False,True,docx-to-3ds
Documents,docx,DOCX,3D Models,dae,DAE,universal,False,True,docx-to-dae
Documents,docx,DOCX,3D Models,fbx,FBX,universal,False,True,docx-to-fbx
Documents,docx,DOCX,3D Models,ply,PLY,universal,False,True,docx-to-ply
Documents,docx,DOCX,3D Models,gltf,GLTF,universal,False,True,docx-to-gltf
Documents,docx,DOCX,3D Models,glb,GLB,universal,False,True,docx-to-glb
Documents,docx,DOCX,3D Models,x3d,X3D,universal,False,True,docx-to-x3d
Documents,docx,DOCX,3D Models,wrl,WRL,universal,False,True,docx-to-wrl
Documents,doc,DOC,Documents,pdf,PDF,libreoffice,False,False,doc-to-pdf
Documents,doc,DOC,Documents,docx,DOCX,libreoffice,False,False,doc-to-docx
Documents,doc,DOC,Documents,odt,ODT,libreoffice,False,False,doc-to-odt
Documents,doc,DOC,Documents,txt,TXT,libreoffice,False,False,doc-to-txt
Documents,doc,DOC,Documents,rtf,RTF,libreoffice,False,False,doc-to-rtf
Documents,doc,DOC,Documents,html,HTML,libreoffice,False,False,doc-to-html
Documents,doc,DOC,Documents,tex,TEX,libreoffice,False,False,doc-to-tex
Documents,doc,DOC,Documents,epub,EPUB,libreoffice,False,False,doc-to-epub
Documents,doc,DOC,Documents,mobi,MOBI,libreoffice,False,False,doc-to-mobi
Documents,doc,DOC,Documents,fb2,FB2,libreoffice,False,False,doc-to-fb2
Documents,doc,DOC,Documents,md,MD,libreoffice,False,False,doc-to-md
Documents,doc,DOC,Documents,csv,CSV,libreoffice,False,False,doc-to-csv
Documents,doc,DOC,Documents,xml,XML,libreoffice,False,False,doc-to-xml
Documents,doc,DOC,Documents,json,JSON,libreoffice,False,False,doc-to-json
Documents,doc,DOC,Spreadsheets,xlsx,XLSX,universal,False,True,doc-to-xlsx
Documents,doc,DOC,Spreadsheets,xls,XLS,universal,False,True,doc-to-xls
Documents,doc,DOC,Spreadsheets,ods,ODS,universal,False,True,doc-to-ods
Documents,doc,DOC,Spreadsheets,csv,CSV,universal,False,True,doc-to-csv
Documents,doc,DOC,Spreadsheets,tsv,TSV,universal,False,True,doc-to-tsv
Documents,doc,DOC,Spreadsheets,dbf,DBF,universal,False,True,doc-to-dbf
Documents,doc,DOC,Spreadsheets,fods,FODS,universal,False,True,doc-to-fods
Documents,doc,DOC,Presentations,pptx,PPTX,universal,False,True,doc-to-pptx
Documents,doc,DOC,Presentations,ppt,PPT,universal,False,True,doc-to-ppt
Documents,doc,DOC,Presentations,odp,ODP,universal,False,True,doc-to-odp
Documents,doc,DOC,Images,jpg,JPG,libreoffice,False,True,doc-to-jpg
Documents,doc,DOC,Images,jpeg,JPEG,libreoffice,False,True,doc-to-jpeg
Documents,doc,DOC,Images,png,PNG,libreoffice,False,True,doc-to-png
Documents,doc,DOC,Images,gif,GIF,libreoffice,False,True,doc-to-gif
Documents,doc,DOC,Images,bmp,BMP,libreoffice,False,True,doc-to-bmp
Documents,doc,DOC,Images,tiff,TIFF,libreoffice,False,True,doc-to-tiff
Documents,doc,DOC,Images,tif,TIF,libreoffice,False,True,doc-to-tif
Documents,doc,DOC,Images,webp,WEBP,libreoffice,False,True,doc-to-webp
Documents,doc,DOC,Images,svg,SVG,libreoffice,False,True,doc-to-svg
Documents,doc,DOC,Images,ico,ICO,libreoffice,False,True,doc-to-ico
Documents,doc,DOC,Images,heic,HEIC,libreoffice,False,True,doc-to-heic
Documents,doc,DOC,Images,heif,HEIF,libreoffice,False,True,doc-to-heif
Documents,doc,DOC,Images,dng,DNG,libreoffice,False,True,doc-to-dng
Documents,doc,DOC,Images,ppm,PPM,libreoffice,False,True,doc-to-ppm
Documents,doc,DOC,Images,pgm,PGM,libreoffice,False,True,doc-to-pgm
Documents,doc,DOC,Images,pbm,PBM,libreoffice,False,True,doc-to-pbm
Documents,doc,DOC,Images,xpm,XPM,libreoffice,False,True,doc-to-xpm
Documents,doc,DOC,Images,xbm,XBM,libreoffice,False,True,doc-to-xbm
Documents,doc,DOC,Images,pcx,PCX,libreoffice,False,True,doc-to-pcx
Documents,doc,DOC,Audio,mp3,MP3,universal,False,True,doc-to-mp3
Documents,doc,DOC,Audio,wav,WAV,universal,False,True,doc-to-wav
Documents,doc,DOC,Audio,aac,AAC,universal,False,True,doc-to-aac
Documents,doc,DOC,Audio,flac,FLAC,universal,False,True,doc-to-flac
Documents,doc,DOC,Audio,ogg,OGG,universal,False,True,doc-to-ogg
Documents,doc,DOC,Audio,m4a,M4A,universal,False,True,doc-to-m4a
Documents,doc,DOC,Audio,wma,WMA,universal,False,True,doc-to-wma
Documents,doc,DOC,Audio,aiff,AIFF,universal,False,True,doc-to-aiff
Documents,doc,DOC,Audio,au,AU,universal,False,True,doc-to-au
Documents,doc,DOC,Audio,amr,AMR,universal,False,True,doc-to-amr
Documents,doc,DOC,Audio,ac3,AC3,universal,False,True,doc-to-ac3
Documents,doc,DOC,Audio,opus,OPUS,universal,False,True,doc-to-opus
Documents,doc,DOC,Audio,mka,MKA,universal,False,True,doc-to-mka
Documents,doc,DOC,Audio,voc,VOC,universal,False,True,doc-to-voc
Documents,doc,DOC,Audio,spx,SPX,universal,False,True,doc-to-spx
Documents,doc,DOC,Audio,tta,TTA,universal,False,True,doc-to-tta
Documents,doc,DOC,Audio,wv,WV,universal,False,True,doc-to-wv
Documents,doc,DOC,Audio,dts,DTS,universal,False,True,doc-to-dts
Documents,doc,DOC,Audio,eac3,EAC3,universal,False,True,doc-to-eac3
Documents,doc,DOC,Video,mp4,MP4,universal,False,True,doc-to-mp4
Documents,doc,DOC,Video,avi,AVI,universal,False,True,doc-to-avi
Documents,doc,DOC,Video,mov,MOV,universal,False,True,doc-to-mov
Documents,doc,DOC,Video,wmv,WMV,universal,False,True,doc-to-wmv
Documents,doc,DOC,Video,mkv,MKV,universal,False,True,doc-to-mkv
Documents,doc,DOC,Video,flv,FLV,universal,False,True,doc-to-flv
Documents,doc,DOC,Video,webm,WEBM,universal,False,True,doc-to-webm
Documents,doc,DOC,Video,m4v,M4V,universal,False,True,doc-to-m4v
Documents,doc,DOC,Video,3gp,3GP,universal,False,True,doc-to-3gp
Documents,doc,DOC,Video,ogv,OGV,universal,False,True,doc-to-ogv
Documents,doc,DOC,Video,mpeg,MPEG,universal,False,True,doc-to-mpeg
Documents,doc,DOC,Video,mpg,MPG,universal,False,True,doc-to-mpg
Documents,doc,DOC,Video,m2v,M2V,universal,False,True,doc-to-m2v
Documents,doc,DOC,Video,mts,MTS,universal,False,True,doc-to-mts
Documents,doc,DOC,Video,ts,TS,universal,False,True,doc-to-ts
Documents,doc,DOC,Video,vob,VOB,universal,False,True,doc-to-vob
Documents,doc,DOC,Video,dv,DV,universal,False,True,doc-to-dv
